SrNo,Region,PostCode,PostName,Department,AgeLimit,PayLevel,ExamLevel,SC,ST,OBC,UR,EWS,Total,ESM,OH,HH,VH,Others
1,CR,CR10126,Stenographer Grade - II,"National Seed Research & Training Centre, Department of Agriculture & Farmers Welfare Ministry of Agriculture &",18-27,Level 6,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
2,CR,CR10226,Laboratory Attendant,"National Seed Research & Training, Centre, Department of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers",18-27,Level 2,Higher Secondary (10+2),0,0,1,0,0,1,0,0,0,0,0
3,CR,CR10426,Junior Engineer (Quality,"Assurance), Discipline- Vehicle Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),7,1,25,36,1,70,0,0,0,0,0
4,CR,CR10526,Junior Engineer (Quality,"Assurance), Discipline- Engineering Equipment Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),1,1,4,5,0,11,0,0,0,0,0
5,CR,CR10626,Junior Engineer (Quality,"Assurance), Discipline- Electronics Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),9,3,12,46,5,75,0,2,2,0,0
6,CR,CR10726,Junior Engineer (Quality,"Assurance), Discipline- Metals & Explosives, Sub Discipline- Military Explosives Directorate General of Quality Assurance (DGQA), Department of Defence Production,",18-30,Level 6,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
7,CR,CR10826,Junior Engineer (Quality,"Assurance), Discipline- Metals & Explosives, Sub Discipline- Metallurgy Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),2,0,4,5,2,13,0,1,0,0,0
8,CR,CR10926,Junior Engineer (Quality,"Assurance), Discipline- Armament, Sub Discipline- Weapons Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),0,0,4,8,0,12,0,0,0,0,0
9,CR,CR11026,Junior Engineer (Quality,"Assurance), Discipline- Armament, Sub Discipline- Small Arms Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),1,2,2,4,1,10,0,0,0,0,0
10,CR,CR11126,Junior Engineer (Quality,"Assurance), Discipline- Armament, Sub Discipline- Instruments Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),3,1,5,9,1,19,0,0,0,0,0
11,CR,CR11226,Junior Engineer (Quality,"Assurance), Discipline- Armament, Sub Discipline- Ammunition Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),3,2,8,6,0,19,0,0,0,0,0
12,CR,CR11326,"Junior Engineer,","Discipline- Store, Sub Discipline- Gentex Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),1,1,2,3,1,8,0,0,0,0,0
13,CR,CR11426,Scientific Assistant,"Discipline- Metals & Explosives, Sub discipline- Military Explosives Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),3,1,6,9,1,20,0,0,0,0,0
14,CR,CR11526,"Scientific Assistant,","Discipline- Metals & Explosives, Sub discipline- Metallurgy Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),1,0,1,1,0,3,0,0,1,0,0
15,CR,CR11626,Scientific Assistant,"Discipline- Store, Sub discipline- Chemistry Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),0,1,0,3,1,5,0,1,0,0,0
16,CR,CR11726,"Scientific Assistant ,","Discipline- Store, Sub discipline- Gentex Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),2,1,3,2,1,9,0,0,0,0,0
17,CR,CR11826,Scientific Assistant Discipline- Vehicle,"Directorate General of Quality Assurance (DGQA), Department of Defence",18-30,Level 6,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
18,CR,CR11926,Drilling Assistant Grade I,"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
19,CR,CR12026,Laboratory Assistant Grade I (Geology),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,1,0,1,0,0,0,0,0
20,CR,CR12126,Lab. Assistant Grade III (Geology),"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,1,3,0,4,0,0,0,0,0
21,CR,CR12226,Lab. Assistant (Geophysics) Grade III,"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
22,CR,CR12326,Stenographer Grade - II,"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,3,0,3,0,0,0,0,0
23,CR,CR12426,Store Clerk,"Geological Survey of India, Ministry of Mines",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
24,CR,CR12526,Accountant,"Geological Survey of India, Ministry of Mines",,,,0,0,0,1,0,1,0,0,0,0,0
25,CR,CR12626,Store Attendant,"Geological Survey of India, Ministry of Mines",,,,0,0,0,1,0,1,0,0,0,0,0
26,CR,CR12726,Research Assistant,"National Centre for Vector Borne Diseases Control, Directorate General of Health Services (DGHS), Department of Health and",18-30,Level 6,Graduation & Above,0,1,0,0,0,1,0,0,0,0,0
27,CR,CR12826,Senior Scientific Assistant (Physics),"National Research Laboratory for Conservation of Cultural Property (NRLC), Ministry of Culture",18-30,Level 6,Graduation & Above,0,1,0,0,0,1,0,0,0,0,0
28,CR,CR12926,Library and Information Assistant,"National Research Laboratory for Conservation of Cultural Property (NRLC), Ministry of Culture",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
29,CR,CR13026,Scientific Assistant,"Central Water Commission, Department of Water Resources, River Development and Ganga",18-30,Level 6,Graduation & Above,1,1,5,3,2,12,0,1,0,0,0
30,CR,CR13126,Library Attendant,"Central Soil and Materials Research Station (CSMRS), Department of Water Resources, River Development and Ganga",18-27,Level 1,Matriculation (10th),0,0,0,1,0,1,0,0,0,0,0
31,CR,CR13226,Mechanic,"Central Soil and Materials Research Station (CSMRS), Department of Water Resources, River Development and Ganga",18-27,Level 1,Matriculation (10th),0,0,1,0,0,1,0,0,0,0,0
32,CR,CR13326,Field-cum-Laboratory Attendant,"National Centre for Organic and Natural Farming , Department of Agriculture & Farmers Welfare, Ministry of Agriculture & Farmers",18-25,Level 1,Matriculation (10th),0,1,0,0,0,1,0,0,0,0,0
33,CR,CR13426,Senior Research Assistant,"Central Water Commission, Department of Water Resources, River Development and Ganga",18-30,Level 7,Graduation & Above,2,2,1,8,0,13,0,0,0,0,0
34,CR,CR13526,Senior Scientific Assistant (Explosives),"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
35,CR,CR13626,Senior Scientific Assistant (Chemistry),"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-30,Level 6,Graduation & Above,0,0,0,1,0,1,0,0,0,0,0
36,CR,CR13726,Laboratory Attendant,"Central Forensic Science Laboratory, Directorate of Forensic Science Services,",18-27,Level 1,Matriculation (10th),0,0,1,1,1,3,1,0,0,0,0
37,CR,CR13826,Junior Engineer,"Central Silk Board, Ministry of Textiles",,,Higher Secondary (10+2),0,0,0,2,0,2,0,0,0,0,0
38,CR,CR13926,"Store Keeper, Grade-II","Central Soil and Materials Research Station, Department of Water Resources, River Development and Ganga",18-27,Level 4,Higher Secondary (10+2),0,0,1,0,0,1,0,0,0,0,0
